entry,at,order
"The player ""drak @ 5Zglli3yOZ"" stand up with the stack of 310.47.",2026-03-20T04:52:09.802Z,177398232980200
"""Daveo da rula @ hL2HOafVVY"" shows a 7♣, 10♦.",2026-03-20T04:52:07.454Z,177398232745400
"-- ending hand #254 --",2026-03-20T04:52:06.054Z,177398232605402
"""Daveo da rula @ hL2HOafVVY"" collected 12.00 from pot",2026-03-20T04:52:06.054Z,177398232605401
"Uncalled bet of 12.00 returned to ""Daveo da rula @ hL2HOafVVY""",2026-03-20T04:52:06.054Z,177398232605400
"""drak @ 5Zglli3yOZ"" folds",2026-03-20T04:52:05.228Z,177398232522800
"""Daveo da rula @ hL2HOafVVY"" raises to 13.00",2026-03-20T04:52:03.097Z,177398232309700
"""drak @ 5Zglli3yOZ"" bets 1.00",2026-03-20T04:51:57.623Z,177398231762300
"River: 8♥, K♠, 5♠, 6♣ [A♣]",2026-03-20T04:51:57.112Z,177398231711200
"""Daveo da rula @ hL2HOafVVY"" calls 1.00",2026-03-20T04:51:56.260Z,177398231626000
"""drak @ 5Zglli3yOZ"" bets 1.00",2026-03-20T04:51:54.131Z,177398231413100
"Turn: 8♥, K♠, 5♠ [6♣]",2026-03-20T04:51:52.957Z,177398231295700
"""Daveo da rula @ hL2HOafVVY"" checks",2026-03-20T04:51:52.150Z,177398231215000
"""drak @ 5Zglli3yOZ"" checks",2026-03-20T04:51:50.771Z,177398231077100
"Flop:  [8♥, K♠, 5♠]",2026-03-20T04:51:50.185Z,177398231018500
"""drak @ 5Zglli3yOZ"" calls 4.00",2026-03-20T04:51:49.371Z,177398230937100
"""Daveo da rula @ hL2HOafVVY"" raises to 4.00",2026-03-20T04:51:46.300Z,177398230630000
"""drak @ 5Zglli3yOZ"" posts a big blind of 1.00",2026-03-20T04:51:44.305Z,177398230430505
"""Daveo da rula @ hL2HOafVVY"" posts a small blind of 0.50",2026-03-20T04:51:44.305Z,177398230430504
"Player stacks: #2 ""Daveo da rula @ hL2HOafVVY"" (196.87) | #6 ""drak @ 5Zglli3yOZ"" (316.47)",2026-03-20T04:51:44.305Z,177398230430501
"-- starting hand #254 (id: 5ahpeliggjvi)  No Limit Texas Hold'em (dealer: ""Daveo da rula @ hL2HOafVVY"") --",2026-03-20T04:51:44.305Z,177398230430500
"-- ending hand #253 --",2026-03-20T04:51:41.354Z,177398230135402
"""Daveo da rula @ hL2HOafVVY"" collected 1.00 from pot",2026-03-20T04:51:41.354Z,177398230135401
"Uncalled bet of 0.50 returned to ""Daveo da rula @ hL2HOafVVY""",2026-03-20T04:51:41.354Z,177398230135400
"""drak @ 5Zglli3yOZ"" folds",2026-03-20T04:51:40.518Z,177398230051800
"""Daveo da rula @ hL2HOafVVY"" posts a big blind of 1.00",2026-03-20T04:51:24.978Z,177398228497805
"""drak @ 5Zglli3yOZ"" posts a small blind of 0.50",2026-03-20T04:51:24.978Z,177398228497804
"Player stacks: #2 ""Daveo da rula @ hL2HOafVVY"" (196.37) | #6 ""drak @ 5Zglli3yOZ"" (316.97)",2026-03-20T04:51:24.978Z,177398228497801
"-- starting hand #253 (id: 9ebdx2i8sgqc)  No Limit Texas Hold'em (dealer: ""drak @ 5Zglli3yOZ"") --",2026-03-20T04:51:24.978Z,177398228497800
"""Daveo da rula @ hL2HOafVVY"" shows a 6♦, 7♦.",2026-03-20T04:51:22.662Z,177398228266200
"-- ending hand #252 --",2026-03-20T04:51:21.344Z,177398228134402
"""Daveo da rula @ hL2HOafVVY"" collected 20.00 from pot",2026-03-20T04:51:21.344Z,177398228134401
"Uncalled bet of 20.00 returned to ""Daveo da rula @ hL2HOafVVY""",2026-03-20T04:51:21.344Z,177398228134400
"""drak @ 5Zglli3yOZ"" folds",2026-03-20T04:51:20.529Z,177398228052900
"""Daveo da rula @ hL2HOafVVY"" bets 20.00",2026-03-20T04:51:19.671Z,177398227967100
"""drak @ 5Zglli3yOZ"" checks",2026-03-20T04:51:15.872Z,177398227587200
"Turn: 8♥, 9♦, Q♣ [Q♦]",2026-03-20T04:51:15.369Z,177398227536900
"""drak @ 5Zglli3yOZ"" calls 6.00",2026-03-20T04:51:14.543Z,177398227454300
"""Daveo da rula @ hL2HOafVVY"" bets 6.00",2026-03-20T04:51:13.220Z,177398227322000
"""drak @ 5Zglli3yOZ"" checks",2026-03-20T04:51:09.364Z,177398226936400
"Flop:  [8♥, 9♦, Q♣]",2026-03-20T04:51:08.659Z,177398226865900
"""drak @ 5Zglli3yOZ"" calls 4.00",2026-03-20T04:51:07.844Z,177398226784400
"""Daveo da rula @ hL2HOafVVY"" raises to 4.00",2026-03-20T04:51:06.904Z,177398226690400
"""drak @ 5Zglli3yOZ"" posts a big blind of 1.00",2026-03-20T04:51:04.963Z,177398226496305
"""Daveo da rula @ hL2HOafVVY"" posts a small blind of 0.50",2026-03-20T04:51:04.963Z,177398226496304
"Player stacks: #2 ""Daveo da rula @ hL2HOafVVY"" (186.37) | #6 ""drak @ 5Zglli3yOZ"" (326.97)",2026-03-20T04:51:04.963Z,177398226496301
"-- starting hand #252 (id: njczo0grdfca)  No Limit Texas Hold'em (dealer: ""Daveo da rula @ hL2HOafVVY"") --",2026-03-20T04:51:04.963Z,177398226496300
"-- ending hand #251 --",2026-03-20T04:51:02.054Z,177398226205402
"""Daveo da rula @ hL2HOafVVY"" collected 1.00 from pot",2026-03-20T04:51:02.054Z,177398226205401
"Uncalled bet of 0.50 returned to ""Daveo da rula @ hL2HOafVVY""",2026-03-20T04:51:02.054Z,177398226205400
"""drak @ 5Zglli3yOZ"" folds",2026-03-20T04:51:01.214Z,177398226121400
"""Daveo da rula @ hL2HOafVVY"" posts a big blind of 1.00",2026-03-20T04:51:00.333Z,177398226033305
"""drak @ 5Zglli3yOZ"" posts a small blind of 0.50",2026-03-20T04:51:00.333Z,177398226033304
"Player stacks: #2 ""Daveo da rula @ hL2HOafVVY"" (185.87) | #6 ""drak @ 5Zglli3yOZ"" (327.47)",2026-03-20T04:51:00.333Z,177398226033301
"-- starting hand #251 (id: lebq2q4t3irs)  No Limit Texas Hold'em (dealer: ""drak @ 5Zglli3yOZ"") --",2026-03-20T04:51:00.333Z,177398226033300
"""drak @ 5Zglli3yOZ"" shows a 2♠.",2026-03-20T04:50:58.850Z,177398225885000
"""drak @ 5Zglli3yOZ"" shows a 5♠.",2026-03-20T04:50:57.720Z,177398225772000
"-- ending hand #250 --",2026-03-20T04:50:56.712Z,177398225671202
"""drak @ 5Zglli3yOZ"" collected 20.00 from pot",2026-03-20T04:50:56.712Z,177398225671201
"Uncalled bet of 8.00 returned to ""drak @ 5Zglli3yOZ""",2026-03-20T04:50:56.712Z,177398225671200
"""Daveo da rula @ hL2HOafVVY"" folds",2026-03-20T04:50:55.900Z,177398225590000
"""drak @ 5Zglli3yOZ"" bets 8.00",2026-03-20T04:50:54.679Z,177398225467900
"River: K♥, 5♦, 8♣, K♣ [3♦]",2026-03-20T04:50:52.138Z,177398225213800
"""Daveo da rula @ hL2HOafVVY"" checks",2026-03-20T04:50:51.331Z,177398225133100
"""drak @ 5Zglli3yOZ"" checks",2026-03-20T04:50:50.385Z,177398225038500
"Turn: K♥, 5♦, 8♣ [K♣]",2026-03-20T04:50:49.604Z,177398224960400
"""drak @ 5Zglli3yOZ"" calls 6.00",2026-03-20T04:50:48.759Z,177398224875900
"""Daveo da rula @ hL2HOafVVY"" bets 6.00",2026-03-20T04:50:47.621Z,177398224762100
"""drak @ 5Zglli3yOZ"" checks",2026-03-20T04:50:44.556Z,177398224455600
"Flop:  [K♥, 5♦, 8♣]",2026-03-20T04:50:43.501Z,177398224350100
"""drak @ 5Zglli3yOZ"" calls 4.00",2026-03-20T04:50:42.684Z,177398224268400
"""Daveo da rula @ hL2HOafVVY"" raises to 4.00",2026-03-20T04:50:41.821Z,177398224182100
"""drak @ 5Zglli3yOZ"" posts a big blind of 1.00",2026-03-20T04:50:39.794Z,177398223979405
"""Daveo da rula @ hL2HOafVVY"" posts a small blind of 0.50",2026-03-20T04:50:39.794Z,177398223979404
"Player stacks: #2 ""Daveo da rula @ hL2HOafVVY"" (195.87) | #6 ""drak @ 5Zglli3yOZ"" (317.47)",2026-03-20T04:50:39.794Z,177398223979401
"-- starting hand #250 (id: o2tlrddge6f3)  No Limit Texas Hold'em (dealer: ""Daveo da rula @ hL2HOafVVY"") --",2026-03-20T04:50:39.794Z,177398223979400
"""Daveo da rula @ hL2HOafVVY"" shows a 5♣, 4♠.",2026-03-20T04:50:36.917Z,177398223691700
"-- ending hand #249 --",2026-03-20T04:50:36.131Z,177398223613102
"""Daveo da rula @ hL2HOafVVY"" collected 1.00 from pot",2026-03-20T04:50:36.131Z,177398223613101
"Uncalled bet of 0.50 returned to ""Daveo da rula @ hL2HOafVVY""",2026-03-20T04:50:36.131Z,177398223613100
"""drak @ 5Zglli3yOZ"" folds",2026-03-20T04:50:35.292Z,177398223529200
"""Daveo da rula @ hL2HOafVVY"" posts a big blind of 1.00",2026-03-20T04:50:34.452Z,177398223445205
"""drak @ 5Zglli3yOZ"" posts a small blind of 0.50",2026-03-20T04:50:34.452Z,177398223445204
"Player stacks: #2 ""Daveo da rula @ hL2HOafVVY"" (195.37) | #6 ""drak @ 5Zglli3yOZ"" (317.97)",2026-03-20T04:50:34.452Z,177398223445201
"-- starting hand #249 (id: 48m0iiwgc5n2)  No Limit Texas Hold'em (dealer: ""drak @ 5Zglli3yOZ"") --",2026-03-20T04:50:34.452Z,177398223445200
"""Daveo da rula @ hL2HOafVVY"" shows a 9♦, 5♥.",2026-03-20T04:50:32.180Z,177398223218000
"-- ending hand #248 --",2026-03-20T04:50:30.830Z,177398223083002
"""Daveo da rula @ hL2HOafVVY"" collected 8.00 from pot",2026-03-20T04:50:30.830Z,177398223083001
"Uncalled bet of 6.00 returned to ""Daveo da rula @ hL2HOafVVY""",2026-03-20T04:50:30.830Z,177398223083000
"""drak @ 5Zglli3yOZ"" folds",2026-03-20T04:50:29.988Z,177398222998800
"""Daveo da rula @ hL2HOafVVY"" bets 6.00",2026-03-20T04:50:29.150Z,177398222915000
"""drak @ 5Zglli3yOZ"" checks",2026-03-20T04:50:25.976Z,177398222597600
"Flop:  [Q♠, A♦, J♦]",2026-03-20T04:50:25.025Z,177398222502500
"""drak @ 5Zglli3yOZ"" calls 4.00",2026-03-20T04:50:24.157Z,177398222415700
"""Daveo da rula @ hL2HOafVVY"" raises to 4.00",2026-03-20T04:50:22.970Z,177398222297000
"""drak @ 5Zglli3yOZ"" posts a big blind of 1.00",2026-03-20T04:50:20.748Z,177398222074805
"""Daveo da rula @ hL2HOafVVY"" posts a small blind of 0.50",2026-03-20T04:50:20.748Z,177398222074804
"Player stacks: #2 ""Daveo da rula @ hL2HOafVVY"" (191.37) | #6 ""drak @ 5Zglli3yOZ"" (321.97)",2026-03-20T04:50:20.748Z,177398222074801
"-- starting hand #248 (id: pvtzqsmgqq2b)  No Limit Texas Hold'em (dealer: ""Daveo da rula @ hL2HOafVVY"") --",2026-03-20T04:50:20.748Z,177398222074800
"""Daveo da rula @ hL2HOafVVY"" shows a 2♦, 8♥.",2026-03-20T04:50:17.917Z,177398221791700
"""drak @ 5Zglli3yOZ"" shows a 10♦, 10♠.",2026-03-20T04:50:17.175Z,177398221717500
"-- ending hand #247 --",2026-03-20T04:50:16.421Z,177398221642102
"""drak @ 5Zglli3yOZ"" collected 2.00 from pot",2026-03-20T04:50:16.421Z,177398221642101
"Uncalled bet of 4.00 returned to ""drak @ 5Zglli3yOZ""",2026-03-20T04:50:16.421Z,177398221642100
"""Daveo da rula @ hL2HOafVVY"" folds",2026-03-20T04:50:15.560Z,177398221556000
"""drak @ 5Zglli3yOZ"" raises to 5.00",2026-03-20T04:50:14.499Z,177398221449900
"""Daveo da rula @ hL2HOafVVY"" posts a big blind of 1.00",2026-03-20T04:50:09.817Z,177398220981705
"""drak @ 5Zglli3yOZ"" posts a small blind of 0.50",2026-03-20T04:50:09.817Z,177398220981704
"Player stacks: #2 ""Daveo da rula @ hL2HOafVVY"" (192.37) | #6 ""drak @ 5Zglli3yOZ"" (320.97)",2026-03-20T04:50:09.817Z,177398220981701
"-- starting hand #247 (id: tmisukcuobdm)  No Limit Texas Hold'em (dealer: ""drak @ 5Zglli3yOZ"") --",2026-03-20T04:50:09.817Z,177398220981700
"""Daveo da rula @ hL2HOafVVY"" shows a 5♠, 10♦.",2026-03-20T04:50:06.683Z,177398220668300
"""drak @ 5Zglli3yOZ"" shows a J♠, J♥.",2026-03-20T04:50:05.692Z,177398220569200
"-- ending hand #246 --",2026-03-20T04:50:05.408Z,177398220540802
"""drak @ 5Zglli3yOZ"" collected 1.00 from pot",2026-03-20T04:50:05.408Z,177398220540801
"Uncalled bet of 0.50 returned to ""drak @ 5Zglli3yOZ""",2026-03-20T04:50:05.408Z,177398220540800
"""Daveo da rula @ hL2HOafVVY"" folds",2026-03-20T04:50:04.525Z,177398220452500
"""drak @ 5Zglli3yOZ"" posts a big blind of 1.00",2026-03-20T04:50:03.299Z,177398220329905
"""Daveo da rula @ hL2HOafVVY"" posts a small blind of 0.50",2026-03-20T04:50:03.299Z,177398220329904
"Player stacks: #2 ""Daveo da rula @ hL2HOafVVY"" (192.87) | #6 ""drak @ 5Zglli3yOZ"" (320.47)",2026-03-20T04:50:03.299Z,177398220329901
"-- starting hand #246 (id: olq9pfws8e6y)  No Limit Texas Hold'em (dealer: ""Daveo da rula @ hL2HOafVVY"") --",2026-03-20T04:50:03.299Z,177398220329900
"-- ending hand #245 --",2026-03-20T04:50:00.344Z,177398220034402
"""Daveo da rula @ hL2HOafVVY"" collected 1.00 from pot",2026-03-20T04:50:00.344Z,177398220034401
"Uncalled bet of 0.50 returned to ""Daveo da rula @ hL2HOafVVY""",2026-03-20T04:50:00.344Z,177398220034400
"""drak @ 5Zglli3yOZ"" folds",2026-03-20T04:49:59.512Z,177398219951200
"""Daveo da rula @ hL2HOafVVY"" posts a big blind of 1.00",2026-03-20T04:49:52.906Z,177398219290605
"""drak @ 5Zglli3yOZ"" posts a small blind of 0.50",2026-03-20T04:49:52.906Z,177398219290604
"Player stacks: #2 ""Daveo da rula @ hL2HOafVVY"" (192.37) | #6 ""drak @ 5Zglli3yOZ"" (320.97)",2026-03-20T04:49:52.906Z,177398219290601
"-- starting hand #245 (id: vdyvesjr4vj3)  No Limit Texas Hold'em (dealer: ""drak @ 5Zglli3yOZ"") --",2026-03-20T04:49:52.906Z,177398219290600
"-- ending hand #244 --",2026-03-20T04:49:49.848Z,177398218984803
"""drak @ 5Zglli3yOZ"" collected 30.00 from pot with Two Pair, Q's & 8's (combination: J♥, 8♠, 8♥, Q♥, Q♠)",2026-03-20T04:49:49.848Z,177398218984802
"""drak @ 5Zglli3yOZ"" shows a 8♠, Q♥.",2026-03-20T04:49:49.848Z,177398218984801
"""Daveo da rula @ hL2HOafVVY"" shows a J♦, A♣.",2026-03-20T04:49:49.848Z,177398218984800
"""Daveo da rula @ hL2HOafVVY"" checks",2026-03-20T04:49:49.011Z,177398218901100
"""drak @ 5Zglli3yOZ"" checks",2026-03-20T04:49:48.039Z,177398218803900
"River: J♥, 10♣, 3♠, 8♥ [Q♠]",2026-03-20T04:49:47.046Z,177398218704600
"""drak @ 5Zglli3yOZ"" calls 12.00",2026-03-20T04:49:46.228Z,177398218622800
"""Daveo da rula @ hL2HOafVVY"" raises to 12.00",2026-03-20T04:49:43.623Z,177398218362300
"""drak @ 5Zglli3yOZ"" bets 4.50",2026-03-20T04:49:39.900Z,177398217990000
"Turn: J♥, 10♣, 3♠ [8♥]",2026-03-20T04:49:38.407Z,177398217840700
"""Daveo da rula @ hL2HOafVVY"" checks",2026-03-20T04:49:37.542Z,177398217754200
"""drak @ 5Zglli3yOZ"" checks",2026-03-20T04:49:35.983Z,177398217598300
"Flop:  [J♥, 10♣, 3♠]",2026-03-20T04:49:35.304Z,177398217530400
"""drak @ 5Zglli3yOZ"" calls 3.00",2026-03-20T04:49:34.442Z,177398217444200
"""Daveo da rula @ hL2HOafVVY"" raises to 3.00",2026-03-20T04:49:33.583Z,177398217358300
"""drak @ 5Zglli3yOZ"" posts a big blind of 1.00",2026-03-20T04:49:31.804Z,177398217180405
"""Daveo da rula @ hL2HOafVVY"" posts a small blind of 0.50",2026-03-20T04:49:31.804Z,177398217180404
"Player stacks: #2 ""Daveo da rula @ hL2HOafVVY"" (207.37) | #6 ""drak @ 5Zglli3yOZ"" (305.97)",2026-03-20T04:49:31.804Z,177398217180401
"-- starting hand #244 (id: qmhlnrybu1bk)  No Limit Texas Hold'em (dealer: ""Daveo da rula @ hL2HOafVVY"") --",2026-03-20T04:49:31.804Z,177398217180400
"""Daveo da rula @ hL2HOafVVY"" shows a 6♣, J♥.",2026-03-20T04:49:29.525Z,177398216952500
"""drak @ 5Zglli3yOZ"" shows a Q♦, K♦.",2026-03-20T04:49:28.128Z,177398216812800
"-- ending hand #243 --",2026-03-20T04:49:27.500Z,177398216750002
"""drak @ 5Zglli3yOZ"" collected 2.00 from pot",2026-03-20T04:49:27.500Z,177398216750001
"Uncalled bet of 2.00 returned to ""drak @ 5Zglli3yOZ""",2026-03-20T04:49:27.500Z,177398216750000
"""Daveo da rula @ hL2HOafVVY"" folds",2026-03-20T04:49:26.663Z,177398216666300
"""drak @ 5Zglli3yOZ"" raises to 3.00",2026-03-20T04:49:25.084Z,177398216508400
"""Daveo da rula @ hL2HOafVVY"" posts a big blind of 1.00",2026-03-20T04:49:23.298Z,177398216329806
"""drak @ 5Zglli3yOZ"" posts a small blind of 0.50",2026-03-20T04:49:23.298Z,177398216329805
"Player stacks: #2 ""Daveo da rula @ hL2HOafVVY"" (208.37) | #6 ""drak @ 5Zglli3yOZ"" (304.97)",2026-03-20T04:49:23.298Z,177398216329802
"-- starting hand #243 (id: 2bh6hkicbijt)  No Limit Texas Hold'em (dealer: ""drak @ 5Zglli3yOZ"") --",2026-03-20T04:49:23.298Z,177398216329801
"The player ""Eating @ 3GZqeC-ZoC"" quits the game with a stack of 69.59.",2026-03-20T04:49:23.298Z,177398216329800
"-- ending hand #242 --",2026-03-20T04:49:20.386Z,177398216038602
"""drak @ 5Zglli3yOZ"" collected 10.00 from pot",2026-03-20T04:49:20.386Z,177398216038601
"Uncalled bet of 5.00 returned to ""drak @ 5Zglli3yOZ""",2026-03-20T04:49:20.386Z,177398216038600
"""Daveo da rula @ hL2HOafVVY"" folds",2026-03-20T04:49:19.536Z,177398215953600
"""drak @ 5Zglli3yOZ"" bets 5.00",2026-03-20T04:49:17.408Z,177398215740800
"Turn: 10♦, 3♣, J♥ [4♥]",2026-03-20T04:49:15.916Z,177398215591600
"""Daveo da rula @ hL2HOafVVY"" checks",2026-03-20T04:49:15.095Z,177398215509500
"""drak @ 5Zglli3yOZ"" checks",2026-03-20T04:49:13.699Z,177398215369900
"Flop:  [10♦, 3♣, J♥]",2026-03-20T04:49:12.381Z,177398215238100
"""drak @ 5Zglli3yOZ"" calls 5.00",2026-03-20T04:49:11.571Z,177398215157100
"""Daveo da rula @ hL2HOafVVY"" raises to 5.00",2026-03-20T04:49:10.464Z,177398215046400
"""drak @ 5Zglli3yOZ"" calls 1.00",2026-03-20T04:49:07.508Z,177398214750800
"""Eating @ 3GZqeC-ZoC"" folds",2026-03-20T04:49:05.892Z,177398214589200
"""Daveo da rula @ hL2HOafVVY"" posts a big blind of 1.00",2026-03-20T04:49:02.075Z,177398214207506
"""drak @ 5Zglli3yOZ"" posts a small blind of 0.50",2026-03-20T04:49:02.075Z,177398214207505
"Player stacks: #2 ""Daveo da rula @ hL2HOafVVY"" (213.37) | #3 ""Eating @ 3GZqeC-ZoC"" (69.59) | #6 ""drak @ 5Zglli3yOZ"" (299.97)",2026-03-20T04:49:02.075Z,177398214207501
"-- starting hand #242 (id: t5cmkwynkqgz)  No Limit Texas Hold'em (dealer: ""Eating @ 3GZqeC-ZoC"") --",2026-03-20T04:49:02.075Z,177398214207500
"""Daveo da rula @ hL2HOafVVY"" shows a 5♠.",2026-03-20T04:49:00.885Z,177398214088500
"-- ending hand #241 --",2026-03-20T04:48:58.454Z,177398213845402
"""Daveo da rula @ hL2HOafVVY"" collected 23.00 from pot",2026-03-20T04:48:58.454Z,177398213845401
"Uncalled bet of 23.00 returned to ""Daveo da rula @ hL2HOafVVY""",2026-03-20T04:48:58.454Z,177398213845400
"""drak @ 5Zglli3yOZ"" folds",2026-03-20T04:48:57.647Z,177398213764700
"""Daveo da rula @ hL2HOafVVY"" raises to 28.75",2026-03-20T04:48:53.075Z,177398213307500
"""drak @ 5Zglli3yOZ"" bets 5.75",2026-03-20T04:48:49.067Z,177398212906700
"Turn: 6♦, 2♦, 4♥ [3♥]",2026-03-20T04:48:47.179Z,177398212717900
"""Daveo da rula @ hL2HOafVVY"" checks",2026-03-20T04:48:46.365Z,177398212636500
"""drak @ 5Zglli3yOZ"" checks",2026-03-20T04:48:45.028Z,177398212502800
"Flop:  [6♦, 2♦, 4♥]",2026-03-20T04:48:43.943Z,177398212394300
"""drak @ 5Zglli3yOZ"" calls 5.50",2026-03-20T04:48:43.131Z,177398212313100
"""Eating @ 3GZqeC-ZoC"" folds",2026-03-20T04:48:42.105Z,177398212210500
"""Daveo da rula @ hL2HOafVVY"" raises to 5.50",2026-03-20T04:48:38.457Z,177398211845700
"""drak @ 5Zglli3yOZ"" posts a big blind of 1.00",2026-03-20T04:48:36.013Z,177398211601306
"""Eating @ 3GZqeC-ZoC"" posts a small blind of 0.50",2026-03-20T04:48:36.013Z,177398211601305
"Player stacks: #2 ""Daveo da rula @ hL2HOafVVY"" (201.62) | #3 ""Eating @ 3GZqeC-ZoC"" (70.09) | #6 ""drak @ 5Zglli3yOZ"" (311.22)",2026-03-20T04:48:36.013Z,177398211601301
"-- starting hand #241 (id: jmohgmmd9rvj)  No Limit Texas Hold'em (dealer: ""Daveo da rula @ hL2HOafVVY"") --",2026-03-20T04:48:36.013Z,177398211601300
"""Daveo da rula @ hL2HOafVVY"" shows a 4♥, 7♣.",2026-03-20T04:48:32.895Z,177398211289500
"-- ending hand #240 --",2026-03-20T04:48:32.403Z,177398211240302
"""Daveo da rula @ hL2HOafVVY"" collected 2.00 from pot",2026-03-20T04:48:32.403Z,177398211240301
"Uncalled bet of 4.00 returned to ""Daveo da rula @ hL2HOafVVY""",2026-03-20T04:48:32.403Z,177398211240300
"""Eating @ 3GZqeC-ZoC"" folds",2026-03-20T04:48:31.596Z,177398211159600
"""Daveo da rula @ hL2HOafVVY"" raises to 5.00",2026-03-20T04:48:29.816Z,177398210981600
"""drak @ 5Zglli3yOZ"" folds",2026-03-20T04:48:26.785Z,177398210678500
"""Eating @ 3GZqeC-ZoC"" posts a big blind of 1.00",2026-03-20T04:48:24.165Z,177398210416507
"""Daveo da rula @ hL2HOafVVY"" posts a small blind of 0.50",2026-03-20T04:48:24.165Z,177398210416506
"Player stacks: #2 ""Daveo da rula @ hL2HOafVVY"" (200.62) | #3 ""Eating @ 3GZqeC-ZoC"" (71.09) | #6 ""drak @ 5Zglli3yOZ"" (311.22)",2026-03-20T04:48:24.165Z,177398210416502
"-- starting hand #240 (id: wkqxggmh1jyd)  No Limit Texas Hold'em (dead button) --",2026-03-20T04:48:24.165Z,177398210416501
"The player ""Triangle5 @ zn7jYkqxSJ"" stand up with the stack of 108.24.",2026-03-20T04:48:24.165Z,177398210416500
"""Daveo da rula @ hL2HOafVVY"" shows a 7♠, 3♦.",2026-03-20T04:48:21.885Z,177398210188500
"-- ending hand #239 --",2026-03-20T04:48:20.532Z,177398210053202
"""Daveo da rula @ hL2HOafVVY"" collected 11.00 from pot",2026-03-20T04:48:20.532Z,177398210053201
"Uncalled bet of 8.25 returned to ""Daveo da rula @ hL2HOafVVY""",2026-03-20T04:48:20.532Z,177398210053200
"""drak @ 5Zglli3yOZ"" folds",2026-03-20T04:48:19.708Z,177398209970800
"""Daveo da rula @ hL2HOafVVY"" bets 8.25",2026-03-20T04:48:17.911Z,177398209791100
"Flop:  [4♥, 4♠, K♠]",2026-03-20T04:48:14.105Z,177398209410500
"""Triangle5 @ zn7jYkqxSJ"" folds",2026-03-20T04:48:13.291Z,177398209329100
"""drak @ 5Zglli3yOZ"" calls 5.00",2026-03-20T04:48:10.909Z,177398209090900
"""Daveo da rula @ hL2HOafVVY"" raises to 5.00",2026-03-20T04:48:09.470Z,177398208947000
"""Triangle5 @ zn7jYkqxSJ"" calls 1.00",2026-03-20T04:48:06.910Z,177398208691000
"""drak @ 5Zglli3yOZ"" calls 1.00",2026-03-20T04:48:02.988Z,177398208298800
"""Eating @ 3GZqeC-ZoC"" folds",2026-03-20T04:47:59.639Z,177398207963900
"""Daveo da rula @ hL2HOafVVY"" posts a big blind of 1.00",2026-03-20T04:47:57.910Z,177398207791007
"""Triangle5 @ zn7jYkqxSJ"" posts a small blind of 0.50",2026-03-20T04:47:57.910Z,177398207791006
"Player stacks: #2 ""Daveo da rula @ hL2HOafVVY"" (194.62) | #3 ""Eating @ 3GZqeC-ZoC"" (71.09) | #6 ""drak @ 5Zglli3yOZ"" (316.22) | #9 ""Triangle5 @ zn7jYkqxSJ"" (109.24)",2026-03-20T04:47:57.910Z,177398207791001
"-- starting hand #239 (id: vkhye3zd1ma4)  No Limit Texas Hold'em (dealer: ""drak @ 5Zglli3yOZ"") --",2026-03-20T04:47:57.910Z,177398207791000
"-- ending hand #238 --",2026-03-20T04:47:54.909Z,177398207490902
"""Daveo da rula @ hL2HOafVVY"" collected 2.50 from pot",2026-03-20T04:47:54.909Z,177398207490901
"Uncalled bet of 3.50 returned to ""Daveo da rula @ hL2HOafVVY""",2026-03-20T04:47:54.909Z,177398207490900
"""Triangle5 @ zn7jYkqxSJ"" folds",2026-03-20T04:47:54.032Z,177398207403200
"""drak @ 5Zglli3yOZ"" folds",2026-03-20T04:47:51.220Z,177398207122000
"""Eating @ 3GZqeC-ZoC"" folds",2026-03-20T04:47:50.341Z,177398207034100
"""Daveo da rula @ hL2HOafVVY"" raises to 4.50",2026-03-20T04:47:41.296Z,177398206129600
"""Triangle5 @ zn7jYkqxSJ"" posts a big blind of 1.00",2026-03-20T04:47:39.101Z,177398205910107
"""drak @ 5Zglli3yOZ"" posts a small blind of 0.50",2026-03-20T04:47:39.101Z,177398205910106
"Player stacks: #2 ""Daveo da rula @ hL2HOafVVY"" (193.12) | #3 ""Eating @ 3GZqeC-ZoC"" (71.09) | #6 ""drak @ 5Zglli3yOZ"" (316.72) | #9 ""Triangle5 @ zn7jYkqxSJ"" (110.24)",2026-03-20T04:47:39.101Z,177398205910101
"-- starting hand #238 (id: jecgnykmek1m)  No Limit Texas Hold'em (dealer: ""Eating @ 3GZqeC-ZoC"") --",2026-03-20T04:47:39.101Z,177398205910100
"-- ending hand #237 --",2026-03-20T04:47:36.191Z,177398205619102
"""Daveo da rula @ hL2HOafVVY"" collected 31.24 from pot",2026-03-20T04:47:36.191Z,177398205619101
"Uncalled bet of 23.43 returned to ""Daveo da rula @ hL2HOafVVY""",2026-03-20T04:47:36.191Z,177398205619100
"""drak @ 5Zglli3yOZ"" folds",2026-03-20T04:47:35.377Z,177398205537700
"""Daveo da rula @ hL2HOafVVY"" bets 23.43",2026-03-20T04:47:22.136Z,177398204213600
"""drak @ 5Zglli3yOZ"" checks",2026-03-20T04:47:18.198Z,177398203819800
"Turn: K♣, Q♥, J♠ [9♣]",2026-03-20T04:47:17.386Z,177398203738600
"""drak @ 5Zglli3yOZ"" calls 9.37",2026-03-20T04:47:16.568Z,177398203656800
"""Daveo da rula @ hL2HOafVVY"" bets 9.37",2026-03-20T04:47:14.508Z,177398203450800
"""drak @ 5Zglli3yOZ"" checks",2026-03-20T04:47:10.956Z,177398203095600
